structure,nums,freq
D8,1381285,0.214864531054196284
D9,718290,0.111732947227341686
L8,312649,0.048633830650128988
D11,274144,0.042644220418900945
D10,240470,0.037406091995933193
L3D6,187749,0.029205124822823891
L9,170481,0.026519016798597275
L2D6,140379,0.021836527584717869
L10,131940,0.020523806620133180
D12,105968,0.016483755797500929
L3D7,104729,0.016291024280126784
L4D4,88340,0.013741648300913787
L2D7,83376,0.012969477798698075
D6,73985,0.011508669340537769
L6D3,69561,0.010820498046862847
L6D4,68796,0.010701499168096727
L4D6,61842,0.009619776026999212
L11,60907,0.009474332952951732
L1D7,60273,0.009375711659961249
D6L3,59869,0.009312867807645545
D6L2,56977,0.008863005379682645
L7D3,55636,0.008654407345139682
L5D4,52692,0.008196456104502483
L12,50604,0.007871659164811425
L3D8,49389,0.007682660945594646
L5D3,46552,0.007241353992575714
L2D8,44617,0.006940356828637881
L7D4,42829,0.006662226115913930
L6D6,39201,0.006097875877791729
D7L3,36543,0.005684413106863171
L5D6,33798,0.005257417130114152
D5,31833,0.004951753343479608
D7L2,30582,0.004757155177026777
L6D2,30486,0.004742221984397303
L3D5,30307,0.004714377802306930
D14,29458,0.004582312379990019
L1D8,29224,0.004545912722955677
L4D7,27374,0.004258137656658524
L1D9,26155,0.004068517221082184
D7L1,25726,0.004001784516519222
L7D6,23711,0.003688343025390161
L8D4,22795,0.003545855479050597
L8D3,21095,0.003281413526236997
L13,19838,0.003085882035244823
L14,19550,0.003041082457356402
L7D2,18862,0.002934061243511839
D6L4,17809,0.002770262786857297
L7D1,16521,0.002569909119078523
L5D7,16387,0.002549064871033215
L2D9,15815,0.002460087931615933
L3D9,15228,0.002368777680850296
L6D7,15152,0.002356955570018629
D8L2,14927,0.002321955899793300
L4D8,14029,0.002182268327071763
D4L4,13364,0.002078824857294678
L8D6,13271,0.002064358326934875
D8L3,13257,0.002062180569676410
D8L1,12791,0.001989692363787506
L9D4,12513,0.001946448326797987
D13,12409,0.001930270701449391
L9D3,12266,0.001908026466595070
L8D2,11756,0.001828693880750990
L4D5,10783,0.001677339751287677
L3D11,10469,0.001628495767062106
L7D7,10440,0.001623984698455286
L6D8,9872,0.001535629975397565
D7L4,9106,0.001416475542541555
D7,8753,0.001361564948810260
D9L1,8741,0.001359698299731576
L10D4,8734,0.001358609421102343
L5D8,8656,0.001346476202090896
L5D5,8518,0.001325009737686027
L15,8288,0.001289232297011246
L10D3,7418,0.001153900238806639
L9D6,7306,0.001136478180738919
L8D1,7092,0.001103189605502384
D6L6,6979,0.001085611993344774
L2D11,6804,0.001058390027613962
L1D6L1,6625,0.001030545845523589
D6L5,6560,0.001020434829680716
L7D8,6497,0.001010634922017624
D4,6354,0.000988390687163303
L6,6257,0.000973301940443939
L9D1,6211,0.000966146452308983
L3D3L3,5818,0.000905013694982074
L3D10,5691,0.000885258325565999
L8D7,5591,0.000869702916576964
D1L1D1L1D1L1D1L1,5403,0.000840458747677577
L1D1L1D1L1D1L1D1,5394,0.000839058760868564
L6D5,5280,0.000821325594621064
D3L6,5046,0.000784925937586721
D7S1,4896,0.000761592824103168
L11D4,4875,0.000758326188215471
D1L3D1L3,4849,0.000754281781878322
L7,4847,0.000753970673698541
L2D10,4770,0.000741993008776984
L4D9,4640,0.000721770977091238
D9L3,4628,0.000719904328012554
L10D6,4585,0.000713215502147269
D5L3,4571,0.000711037744888804
L1D11,4566,0.000710259974439352
L11D3,4458,0.000693460132731194
D8L4,4422,0.000687860185495141
D6S2,4195,0.000652549407090031
L3D4L3,4194,0.000652393853000141
L9D2,4167,0.000648193892573101
D9L2,4072,0.000633416254033518
L8D8,4041,0.000628594077246917
L3S1D4,4000,0.000622216359561412
L2D4L2,3929,0.000611172019179197
L16,3924,0.000610394248729745
D7L5,3916,0.000609149816010622
D15,3884,0.000604172085134131
D4L6,3736,0.000581150079830359
