structure,freq,,nums
L6,0.093130845,,42234
L8,0.075602382,,34285
L7,0.066704742,,30250
L6D2,0.04937915,,22393
L9,0.037237784,,16887
L8D2,0.029661008,,13451
D6,0.027746967,,12583
L7D1,0.02646359,,12001
L7D2,0.025149341,,11405
L3,0.024031348,,10898
L10,0.023857144,,10819
L4D4,0.020121678,,9125
L5D2,0.019193325,,8704
L5D3,0.017127132,,7767
L6D1,0.016829441,,7632
L8D1,0.015076374,,6837
L5D1,0.014981554,,6794
L6D3,0.014710325,,6671
L6D4,0.01451848,,6584
L5D4,0.013903253,,6305
L4D2,0.013219667,,5995
L12,0.01193629,,5413
D8,0.011654035,,5285
L11,0.011579061,,5251
L5,0.009848045,,4466
D5L5,0.009475381,,4297
L3D4,0.00927251,,4205
L7D3,0.008507335,,3858
L9D1,0.007689237,,3487
L7D4,0.007239394,,3283
D7,0.007016677,,3182
L4D3,0.006992421,,3171
L3D3,0.00697919,,3165
L9D2,0.006758679,,3065
D4L5,0.006183144,,2804
L2D4,0.005881043,,2667
L10D2,0.005589968,,2535
L8D4,0.005523814,,2505
L8D3,0.004643973,,2106
L9D3,0.004249257,,1927
L2D6,0.004172078,,1892
D4L4,0.003371621,,1529
L3D5,0.00333634,,1513
L4,0.003219469,,1460
L3D6,0.003144495,,1426
D10,0.002998957,,1360
D1L7,0.002824753,,1281
D9,0.002796086,,1268
D4,0.002613062,,1185
L10D1,0.002522652,,1144
D3L5,0.002134552,,968
L11D1,0.002081629,,944
D5L4,0.002055168,,932
L13,0.001989014,,902
D2L6,0.001962553,,890
L3D1L4,0.001898604,,861
L4D1L3,0.00172881,,784
D6L2,0.001713375,,777
L5D1L2,0.001556811,,706
L2D5,0.001550196,,703
L3D2L3,0.001543581,,700
D4L2,0.001539171,,698
L4D6,0.00153476,,696
D1L6,0.001470812,,667
L6D6,0.00143994,,653
L4D5,0.001369377,,621
L6D1L1,0.001364966,,619
L5D5,0.001364966,,619
D1L5,0.001307633,,593
D1L8,0.001294403,,587
D4L3,0.00123707,,561
L1D1L6,0.001197378,,543
L2D1L5,0.001197378,,543
D2L7,0.001153275,,523
L1D7,0.00115107,,522
L7D5,0.001144455,,519
L1D6,0.001129019,,512
L4D1L4,0.001115788,,506
D1L6D1,0.001102558,,500
L5D6,0.001067276,,484
L6D5,0.001038609,,471
L14,0.001020968,,463
D2L5,0.001005533,,456
L1D1L1D1L1D1L1D1,0.000974661,,442
D3L3,0.000972456,,441
L3D1L3,0.000926148,,420
D6L3,0.000873226,,396
D4L6,0.000864405,,392
L3D1L3D1,0.000842354,,382
D3L4,0.000831329,,377
D5,0.000820303,,372
D1L9,0.000811482,,368
D2L8,0.000798252,,362
D1L1D1L1D1L1D1L1,0.000773996,,351
L1D8,0.000740919,,336
D12,0.000710047,,322
D11,0.000707842,,321
D5L3,0.000692406,,314
D6L1,0.000690201,,313
D3L6,0.000690201,,313
L2D7,0.000683586,,310
D2L4,0.000681381,,309
L5D1L4,0.000661535,,300
L2D4L2,0.000654919,,297
L4D2L2,0.000650509,,295
L4D1L2,0.000641689,,291
L3D7,0.000641689,,291
L2D8,0.000639483,,290
L9D4,0.000613022,,278
D7L1,0.000608612,,276
L4D1L1,0.000599791,,272
L1D5,0.000597586,,271
L5D1L1,0.000586561,,266
L2D1L4,0.000584356,,265
L15,0.00057333,,260
L1D1L3D1L2,0.00056892,,258
L2D1L3,0.000551279,,250
L5D1L3,0.000551279,,250
D1L3D1L3,0.000542458,,246
D2L4D2,0.000538048,,244
D1L7D1,0.000538048,,244
L10D3,0.000535843,,243
D3L7,0.000524817,,238
L11D2,0.000513792,,233
L2D2L2D2,0.000511587,,232
D4L8,0.000509382,,231
L2D2L4,0.000507177,,230
L1D1L1D1L1D1,0.000500561,,227
D2L5D2,0.000496151,,225
L5D2L1,0.000493946,,224
L1D1L4,0.000489536,,222
L5D1L1D1,0.000487331,,221
L2D2L2,0.000480715,,218
L7S1,0.00047851,,217
L3D1L2,0.000476305,,216
L4D1L5,0.000454254,,206
L6S1D2,0.000452049,,205
L1D6L1,0.000449844,,204
L2D1L3D1L1,0.000443228,,201
D4L7,0.000441023,,200
L3D3L2,0.000436613,,198
D2L6D2,0.000436613,,198
L3D3L3,0.000429998,,195
D1L5D1,0.000418972,,190
D8L1,0.000416767,,189
L3D8,0.000407946,,185
L6D1L2,0.000396921,,180
L1D1L5,0.000394716,,179
L3D1L5,0.000385895,,175
L6D2L1,0.00038369,,174
L5D7,0.00038369,,174
D2L10,0.000381485,,173
L6D2S1,0.00037928,,172
L4D2L4,0.00037928,,172
L6S1,0.00037487,,170
D6L4,0.000372665,,169
L1D2L5,0.000363844,,165
